央视(江西电信),#genre#
CCTV-第一剧场,rtsp://115.153.233.154/PLTV/88888888/224/3221226961/86128891.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012514403.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231540/index.m3u8#http://117.148.179.172/PLTV/88888888/224/3221231540/index.m3u8
CCTV-风云剧场,rtsp://115.153.233.154/PLTV/88888888/224/3221226963/86128874.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513603.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231604/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231604/index.m3u8 
CCTV-风云足球,http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012514203.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231547/index.m3u8#http://117.148.179.137/PLTV/88888888/224/3221231547/index.m3u8 
CCTV-世界地理,rtsp://115.153.233.154/PLTV/88888888/224/3221226965/86128966.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513303.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231537/index.m3u8#http://117.148.179.156/PLTV/88888888/224/3221231537/index.m3u8
CCTV-央视台球,rtsp://115.153.233.154/PLTV/88888888/224/3221226955/86106661.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513703.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231616/index.m3u8#http://117.148.179.167/PLTV/88888888/224/3221231616/index.m3u8 
CCTV-女性时尚,http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513903.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226237/index.m3u8#http://117.148.179.167/PLTV/88888888/224/3221231598/index.m3u8
CCTV-央视文化精品,rtsp://115.153.233.154/PLTV/88888888/224/3221226957/86128679.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513803.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231561/index.m3u8
CCTV-兵器科技,rtsp://115.153.233.154/PLTV/88888888/224/3221227004/86132185.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV-高尔夫网球,rtsp://115.153.233.154/PLTV/88888888/224/3221226967/86128985.smil#rtsp://115.153.233.154/PLTV/88888888/224/3221227036/86502103.smilhttp://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012512503.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231619/index.m3u8
CCTV-卫生健康,http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
中央新影-老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8
中央新影-发现之旅,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
中央新影-新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2/index.m3u8
中国教育1,rtsp://115.153.233.154/PLTV/88888888/224/3221226858/63768493.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221226858/63768493.smil?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225661/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225917/index.m3u8?fmt=ts2hls#http://117.148.179.156/PLTV/88888888/224/3221231714/index.m3u8#http://117.148.179.149/PLTV/88888888/224/3221231552/index.m3u8
中国教育2,rtsp://115.153.233.154/PLTV/88888888/224/3221226978/85722625.smil#http://117.148.179.160/PLTV/88888888/224/3221231607/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231607/index.m3u8
中国教育3,http://117.148.179.160/PLTV/88888888/224/3221231543/index.m3u8#http://117.148.179.136/PLTV/88888888/224/3221231543/index.m3u8
中国教育4,rtsp://115.153.233.154/PLTV/88888888/224/3221226905/65242632.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221226905/65242632.smil?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225937/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231613/index.m3u8
中国教育1, http://yuwentao114.f3322.net:4022/rtp/239.252.220.198:5140
中国教育4, http://yuwentao114.f3322.net:4022/rtp/239.252.219.169:5140
CNC新华英文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225693/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225693/index.m3u8
CNC新华中文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225694/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225694/index.m3u8
CGTN-英语,rtsp://115.153.233.154/PLTV/88888888/224/3221226694/55738457.smil#rtsp://115.153.212.72/PLTV/88888888/224/3221226694/55738457.smil?#rtsp://115.153.233.154/PLTV/88888888/224/3221226947/77798966.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2001656803.m3u8#https://live.cgtn.com/1000/prog_index.m3u8#http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN-Français(法语),rtsp://115.153.233.154/PLTV/88888888/224/3221226968/77799060.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2010153503.m3u8#http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CGTN-Pусский(俄语),rtsp://115.153.233.154/PLTV/88888888/224/3221226966/77798997.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2010152603.m3u8#http://117.148.179.179/PLTV/88888888/224/3221231591/index.m3u8
CGTN-العربية(阿语),rtsp://115.153.233.154/PLTV/88888888/224/3221226951/77799001.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2010155203.m3u8#http://117.148.179.163/PLTV/88888888/224/3221231579/index.m3u8
CGTN-Español(西语),rtsp://115.153.233.154/PLTV/88888888/224/3221226949/77798970.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2010152503.m3u8#http://117.148.179.176/PLTV/88888888/224/3221231546/index.m3u8
CGTN-纪录,rtsp://115.153.233.154/PLTV/88888888/224/3221226960/77798993.smil#http://153.35.100.114:80/tlivectfree-cdn.ysp.cctv.cn/ysp/2010155403.m3u8#http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8 
直播中国,http://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
中国天气,http://140.207.241.3:8080/live/program/live/zgqx/1300000/mnf.m3u8#http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
