省台(江西电信),#genre#
广东卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.213:5140
黑龙江卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.211:5140
湖北卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.208:5140
天津卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.61:5140
安徽卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.83:5140
辽宁卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.62:5140
山东卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.228:5140
深圳卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.212:5140
东南卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.82:5140
云南卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.185:5140
吉林卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.188:5140
西藏卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.106:5140
广西卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.183:5140
宁夏卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.104:5140
河南卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.189:5140
重庆卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.94:5140
甘肃卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.110:5140
海南卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.178:5140
四川卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.93:5140
山西卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.27:5140
贵州卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.190:5140
青海卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.46:5140
陕西卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.105:5140
内蒙古卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.48:5140
新疆卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.100:5140
兵团卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.219.107:5140
河北卫视, http://yuwentao114.f3322.net:4022/rtp/239.252.220.154:5140
